Restaurant Name,Neighborhood,Address,ZIP Code,Description
JWB Grill,SoBro,425 Rep. John Lewis Way South,37203,SOUTHERN SOUL FOOD TO COASTAL CRAVINGS
L27 Rooftop Lounge,SoBro,807 Clark Place,37203,ROOFTOP LOUNGE AND BAR AT THE WESTIN NASHVILLE
Liberty Common,SoBro,207 1st Avenue South,37201,SOUTHERN-STYLE BRASSERIE
M.,SoBro,"209 Tenth Avenue South, # 223",37203,RESTAURANT & BAR
Martin's Bar-B-Que Joint,SoBro,410 4th Avenue South,37201,BARBECUE RESTAURANT
Mercy Lounge,SoBro,One Cannery Row,37203,LIVE MUSIC / EVENT VENUE
New Heights Brewing Company,SoBro,28 5th Avenue South,37203,BREWERY
Nuvo Burrito,SoBro,319 Peabody Street,37210,
Oak Steakhouse Nashville,SoBro,801 Clark Place,37203,STEAKHOUSE RESTAURANT
Pie Town Tacos,SoBro,614 Ewing Avenue,37203,FAST-CASUAL TACO SHOP
Pinewood Social,SoBro,33 Peabody Street,37210,LOCATED JUST OUTSIDE OF SOBRO
Proper Sake Co.,SoBro,628 Ewing Avenue,37203,SAKE BREWERY & TASTING ROOM
Sidebar,SoBro,401 2nd Avenue South,37201,COCKTAIL LOUNGE AT BODE
Stompin' Grounds,SoBro,201 8th Avenue South,37203,RESTAURANT & MARKET
Sun Diner Café,SoBro,105 Third Avenue South,37201,DINER
Tennessee Brew Works,SoBro,809 Ewing Avenue,37203,BREWERY & TAPROOM
The Diner,SoBro,200 3rd Avenue South,37201,24-HOUR DINER
The Goat,SoBro,211 Elm Street,37210,RESTAURANT AND BAR
The Hampton Social,SoBro,201 1st Avenue South,37201,"ROSÉ LOUNGE, RESTAURANT, AND ROOFTOP"
The High Watt,SoBro,1 Cannery Row,37206,MUSIC VENUE
The Listening Room Café,SoBro,618 4th Avenue South,37210,MUSIC VENUE / RESTAURANT
The River House,SoBro,313 Demonbreun Street,37210,STEAK AND SEAFOOD RESTAURANT
The Southern Engine,SoBro,150 3rd Avenue South,37201,STEAK & OYSTER
Yolan Nashville,SoBro,403 4th Avenue South,37201,FINE ITALIAN CUISINE FROM MICHELIN-STARRED CHEF TONY MANTUANO
Al Taglio,SoBro,321 Fifth Avenue South,37203,ROMAN-STYLE PIZZA
Bad Axe Throwing Nashville,SoBro,648 Fogg Street,37203,"AXE THROWING VENUE, RESTAURANT, & BAR"
Bob's Steak & Chop House,SoBro,250 5th Avenue South,37203,
Corner Bakery Café,SoBro,308 4th Avenue South,37201,BAKERY AND CAFÉ
Gino's East & The Comedy Bar,SoBro,311 3rd Avenue South,37201,CHICAGO DEEP DISH PIZZA RESTAURANT + COMEDY BAR
Kitchen Notes,SoBro,250 Fifth Avenue South,37203,SOUTHERN CUISINE
The Goat,SoBro,211 Elm Street,37210,RESTAURANT AND BAR
The Palm,SoBro,140 5th Avenue South,37203,
8th & Roast,Sylvan Park,4104 Charlotte Avenue,37209,COFFEE SHOP & EATERY
Answer,Sylvan Park,132 46th Avenue,37209,GLOBALLY-DRIVEN RESTAURANT AND BAR
Bearded Iris,Sylvan Park,4101 Charlotte Avenue Suite 40,37209,BREWERY
Bobbie's Dairy Dip,Sylvan Park,5301 Charlotte Avenue,37209,"BURGERS, SHAKES & ICE CREAM"
Caffe Nonna,Sylvan Park,4427 Murphy Road,37209,ITALIAN RESTAURANT
Castrillo's Pizza,Sylvan Park,3501 Park Avenue,37209,
Chaatable Indian Street Food,Sylvan Park,345 40th Avenue North,37209,INDIAN STREET FOOD
Dose,Sylvan Park,3431a Murphy Road,37203,COFFEE & TEA
Double Dogs,Sylvan Park,4017 Charlotte Avenue,37209,SPORTS BAR & RESTAURANT
Edley's Bar-B-Que,Sylvan Park,4500 Murphy Road,37209,FAST-CASUAL BARBECUE
Family Tacos,Sylvan Park,4304 Charlotte Avenue,37209,MEXICAN RESTAURANT
Farm Burger,Sylvan Park,4013 Charlotte Avenue,37209,BURGER RESTAURANT
Five Points Pizza,Sylvan Park,4100 Charlotte Avenue,37209,PIZZERIA
Hathorne,Sylvan Park,4708 Charlotte Avenue,37209,NEW AMERICAN RESTAURANT
Hattie B's Hot Chicken,Sylvan Park,5209 Charlotte Avenue,37209,HOT CHICKEN
Hugh-Baby's,Sylvan Park,4816 Charlotte Avenue,37209,BBQ & BURGER SHOP
Lola Nashville,Sylvan Park,4401 Murphy Road,37209,SPANISH RESTAURANT AND BAR
M.L.Rose,Sylvan Park,4408 Charlotte Avenue,37209,CRAFT BEER & BURGERS
McCabe Pub,Sylvan Park,4410 Murphy Road,37209,AMERICAN SOUTHERN CUISINE
Miel,Sylvan Park,343 53rd Avenue North,37209,FARM-TO-TABLE RESTAURANT
Nashville Roots Juicery,Sylvan Park,4504 Murphy Road,37209,ORGANIC COLD PRESSED JUICES
Neighbors,Sylvan Park,4425 Murphy Road,37209,GRILL AND PUB
Otaku Ramen,Sylvan Park,4109 Charlotte Avenue,37209,RAMEN RESTAURANT
Pancho & Lefty's,Sylvan Park,4501 Murphy Road,37209,MEXICAN & TEX-MEX
Park Café,Sylvan Park,4403 Murphy Road,37209,FINE DINING
Radish Kitchen,Sylvan Park,"4101 Charlotte Avenue, Building G Suite 10",37209,HEALTHY FAST-CASUAL RESTAURANT
Red Perch,Sylvan Park,"4101 Charlotte Avenue, Suite 120",37209,SEAFOOD RESTAURANT
Smokin Thighs,Sylvan Park,4400 Charlotte Avenue,37209,SMOKED & GRILLED CHICKEN
Star Bagel Café,Sylvan Park,4504 Murphy Road,37209,BAKERY CAFÉ
Taqueria Del Sol,Sylvan Park,4500 Charlotte Avenue,37209,TEX-MEX RESTAURANT
The Urban Juicer,Sylvan Park,4021 Charlotte Avenue,37209,JUICE BAR
Twilight Tavern,Sylvan Park,5303 Charlotte Avenue,37209,
Another Broken Egg Café,Sylvan Park,4111 Charlotte Avenue,37209,"SOUTHERN-INSPIRED, BREAKFAST, BRUNCH, AND LUNCH"
51 North Taproom,The Nations,704 51st Avenue North,37209,TAPROOM & GRILL
51st Deli,The Nations,1314 51st Avenue North,37209,DELI
Bare Bones Butcher,The Nations,906 51st Avenue North,37209,"WHOLE ANIMAL BUTCHER, GROCERY STORE, BITES & BAR"
Betty's Bar & Grill,The Nations,407 49th Avenue North,37209,BAR & GRILL
Big Bad Breakfast,The Nations,5304 Charlotte Avenue,37209,BREAKFAST RESTAURANT
Bold Patriot Brewing Company,The Nations,410 39th Avenue North,37209,BREWERY
Brightside Bakeshop,The Nations,4907 Indiana Avenue,37209,BAKERY
Burger Joint,The Nations,5511 Centennial Boulevard,37209,BURGER RESTAURANT
Camion Chino,The Nations,3900 Charlotte Avenue,37209,ASIAN-AMERICAN RESTAURANT
Centennial Café,The Nations,5207 Centennial Boulevard,37209,SOUTHERN-STYLE BREAKFAST & LUNCH
Coco's Italian Market,The Nations,411 51st Avenue North,37209,ITALIAN MARKET & RESTAURANT
Culture + Co,The Nations,3814 Charlotte Avenue,37209,CHEESE CONVEYER BELT + RESTAURANT
Czann's Brewing Company,The Nations,4909 Indiana Avenue,37209,TAPROOM & BREWERY
Daddy's Dogs,The Nations,5205 Centennial Boulevard,37209,
El Paseo,The Nations,905 51st Avenue North,37209,MEXICAN RESTAURANT & DOG PARK
The Hop Yard at Fat Bottom,The Nations,800 44th Avenue North,37209,BREWERY & TAPROOM
Five Daughters Bakery,The Nations,3820 Charlotte Avenue,37209,BAKERY
The Fountain of Juice,The Nations,908 51st Avenue North,37209,JUICE BAR
Frothy Monkey,The Nations,1400 51st Avenue North,37209,COFFEE HOUSE & EATERY
Harding House Brewing Co.,The Nations,904 51st Avenue North,37209,BREWERY & TAPROOM
Headquarters,The Nations,4902 Charlotte Pike,37209,COFFEEHOUSE
Honest Coffee Roasters,The Nations,3820 Charlotte Avenue,37209,COFFEE SHOP
Jeni's Ice Creams,The Nations,4900 Centennial Boulevard,37209,ICE CREAM SHOP
Kinsei Tea Company,The Nations,"3820 Charlotte Avenue, Suite 122",37209,TEA HOUSE
Midnight Oil,The Nations,1310 51st Avenue North,37209,PIZZA RESTAURANT
Gracie's Milkshake Bar,The Nations,3820 Charlotte Avenue,37209,MILKSHAKE BAR
Nicky's Coal Fired,The Nations,5026 Centennial Boulevard,37209,ITALIAN & PIZZA RESTAURANT
Oscar's Taco Shop,The Nations,5104 Centennial Blvd,37209,
Otto's Bar,The Nations,4210 Charlotte Avenue,37209,BAR & RESTAURANT
PennePazze,The Nations,3820 Charlotte Avenue,37209,ITALIAN RESTAURANT
Red Bicycle,The Nations,712 51st Avenue North,37209,COFFEE SHOP
Rock'n Dough Pizza & Brewery,The Nations,1105 51st Avenue North,37209,RESTAURANT & BREWERY
Southern Grist,The Nations,5012 Centennial Boulevard,37209,TAPROOM
Taco Chela,The Nations,3814 Charlotte Avenue,37209,MEXICAN RESTAURANT
Thai Ni Yom,The Nations,3820 Charlotte Avenue,37209,THAI RESTAURANT
The Café at Thistle Farms,The Nations,5128 Charlotte Avenue,37209,
The Centennial,The Nations,5115 Centennial Boulevard,37209,UPSCALE DIVE BAR
The Nations Bar & Grill,The Nations,705 51st Avenue North,37209,BAR & RESTAURANT
Tinwings,The Nations,816 51st Avenue North,37209,CATERING COMPANY
Ugly Mugs Coffee Café and Roaster,The Nations,5307 Centennial Boulevard,37209,COFFEE SHOP & ROASTER
Wendell Smith's,The Nations,5300 Charlotte Avenue,37209,RESTAURANT
White Bison Coffee,The Nations,5202 Centennial Boulevard,37209,"COFFEE, PASTRIES, SANDWICHES, SALADS, WRAPS"
Americano Lounge,Wedgewood-Houston,434 Houston Street,37204,CRAFT COFFEE & CRAFT COCKTAILS
Bastion,Wedgewood-Houston,434 Houston Street,37203,BAR & RESTAURANT
Corsair Artisan Distillery,Wedgewood-Houston,601 Merritt Avenue,37203,DISTILLERY HEADQUARTERS
Crest Coffee House,Wedgewood-Houston,1601 Martin Street,37203,DONATION BASED COFFEE SHOP
Diskin Cider,Wedgewood-Houston,1235 Martin Street,37203,CIDER BAR
Dozen Bakery,Wedgewood-Houston,516 Hagan Street,37203,BAKERY & CAFÉ
Earnest Bar & Hideaway,Wedgewood-Houston,438 Houston Street,37203,BAR & RESTAURANT
E+Rose,Wedgewood-Houston,610 Merritt Avenue,37203,WELLNESS CAFÉ
Falcon Coffee,Wedgewood-Houston,509 Houston Street,37203,COFFEE SHOP
Flamingo Cocktail Club,Wedgewood-Houston,509 Houston Street,37203,COCKTAIL BAR
Gabby's Burgers and Fries,Wedgewood-Houston,493 Humphreys Street,37203,BURGER RESTAURANT
Humphreys Street Coffee Shop,Wedgewood-Houston,424 Humphreys Street,37203,COFFEE SHOP
Loading Dock,Wedgewood-Houston,2028A Lindell Avenue,37203,COFFEE SHOP
Lucky's 3 Star,Wedgewood-Houston,1401 4th Avenue South,37210,COCKTAIL BAR
Nashville Craft Distillery,Wedgewood-Houston,514 Hagan Street,37203,DISTILLERY
Never Never,Wedgewood-Houston,413 Houston Street,37203,BAR & RESTAURANT
pH Craft Cocktails,Wedgewood-Houston,1249 Martin Street,37203,CRAFT COCKTAIL BAR & RESTAURANT
Pink Door Cookies,Wedgewood-Houston,"321 Hart Street, Suite 309",37210,COOKIE SHOP
Santa's Pub,Wedgewood-Houston,2225 Bransford Ave‎nue,37204,DIVE BAR
Smokin Thighs,Wedgewood-Houston,611 Wedgewood Avenue,37203,SMOKED & GRILLED CHICKEN
The Chestnut,Wedgewood-Houston,321 Hart Street,37210,POP-UP BAR & ENTERTAINMENT
The Ranch at Jackalope Brewing Co.,Wedgewood-Houston,429B Houston Street,37203,TAPROOM AND BREWERY
Amerigo,West End,1920 West End Avenue,37203,ITALIAN RESTAURANT
Analog,West End,1808 West End Avenue,37203,MUSIC VENUE & COCKTAIL LOUNGE
Avo,West End,3000 Charlotte Ave,37209,PLANT-BASED / VEGAN RESTAURANT
Blackstone,West End,2312 Clifton Avenue,37209,CRAFT BREWERY
Bricktop's,West End,3000 West End Avenue,37212,
Calypso Café,West End,3307 Charlotte Avenue,37209,CALYPSO CAFÉ
Central Bar + Kitchen,West End,2555 West End Avenue,37203,AMERICAN RESTAURANT
Commodore Grille,West End,2613 West End Avenue,37203,RESTAURANT & LOUNGE
Cross-Eyed Critters Watering Hole,West End,101 20th Avenue North,37203,ANIMATRONIC KARAOKE BAR
Fable Lounge,West End,114 28th Avenue North,37203,"SPEAKEASY, LOUNGE, AND RESTAURANT"
Grins Vegetarian Café,West End,2421 Vanderbilt Place,37212,"VEGETARIAN, VEGAN, & KOSHER RESTAURANT"
Hayes Street Bar,West End,1909 Hayes Street,37203,HAYES STREET HOTEL BAR
Hugh-Baby's,West End,3001 West End Ave,37203,FAST-CASUAL BURGER JOINT
Jasper's,West End,1918 West End Avenue,37203,CASUAL EATERY & MARKET
Kokos Ice Cream,West End,"3 City Avenue, Suite 700",37209,100% PLANT-BASED ICE CREAM
Mason's,West End,2100 West End Avenue,37203,RESTAURANT & BAR
NoBaked Cookie Dough,West End,117 28th Avenue North,37203,DESSERT
Pastaria,West End,8 City Boulevard,37209,ITALIAN CUISINE & PIZZA
Poindexter,West End,101 20th Avenue North,37203,HOTEL CAFÈ
Sandbar,West End,"3 City Avenue, Suite 500",37209,"OUTDOOR PATIO BAR, SAND VOLLEYBALL, AND FRESH FRUIT COCKTAILS"
Sitar,West End,116 21st Avenue North,37203,INDIAN CUISINE
Springwater,West End,115 27th Avenue North,37203,DIVE BAR
Sump Coffee,West End,8 City Boulevard,37209,COFFEE SHOP
Sun & Fork,West End,2525 West End Avenue,37203,
Tarboosh,West End,120 21st Avenue North,37203,HOOKAH LOUNGE
The Local,West End,110 28th Ave N,37203,BAR & MUSIC VENUE
Three Brothers Coffee,West End,2813 West End Avenue,37203,COFFEE SHOP
Valentino's Ristorante,West End,1808 Hayes Street,37203,ITALIAN RESTAURANT
White Limozeen,West End,101 20th Avenue North,37203,INDOOR-OUTDOOR ROOFTOP BAR & RESTAURANT
Woodlands,West End,3415 West End Avenue,37203,VEGETARIAN INDIAN CUISINE
Inchin's Bamboo Garden,West End,1800 West End Avenue,37203,INDIAN + CHINESE
Ruth's Chris,West End,2100 West End Avenue,37203,STEAKHOUSE
Stoney River,West End,3015 West End Avenue,37203,STEAKHOUSE
Ted's Montana Grill,West End,2817 West End Avenue,37203,RESTAURANT
